DATE,THREEFF7
2019-11-22,1.9909
2019-11-25,1.9811
2019-11-26,1.9546
2019-11-27,1.9729
2019-11-28,.
2019-11-29,1.9798
2019-12-02,2.0249
2019-12-03,1.9504
2019-12-04,1.9744
2019-12-05,2.0001
2019-12-06,2.0425
2019-12-09,2.0468
2019-12-10,2.0557
2019-12-11,2.0169
2019-12-12,2.0909
2019-12-13,2.0511
2019-12-16,2.0941
2019-12-17,2.1075
2019-12-18,2.1497
2019-12-19,2.1626
2019-12-20,2.1745
2019-12-23,2.1850
2019-12-24,2.1703
2019-12-25,.
2019-12-26,2.1665
2019-12-27,2.1467
2019-12-30,2.1585
2019-12-31,2.1889
2020-01-01,.
2020-01-02,2.1667
2020-01-03,2.0989
2020-01-06,2.0878
2020-01-07,2.0965
2020-01-08,2.1310
2020-01-09,2.1222
2020-01-10,2.0988
2020-01-13,2.1042
2020-01-14,2.0810
2020-01-15,2.0477
2020-01-16,2.0580
2020-01-17,2.0765
2020-01-20,.
2020-01-21,2.0390
2020-01-22,2.0297
2020-01-23,1.9993
2020-01-24,1.9578
2020-01-27,1.8741
2020-01-28,1.8791
2020-01-29,1.8345
2020-01-30,1.8051
2020-01-31,1.7526
2020-02-03,1.7618
2020-02-04,1.8186
2020-02-05,1.8724
2020-02-06,1.8745
2020-02-07,1.8352
2020-02-10,1.8022
2020-02-11,1.8150
2020-02-12,1.8538
2020-02-13,1.8523
2020-02-14,1.8348
2020-02-17,.
2020-02-18,1.8032
2020-02-19,1.8071
2020-02-20,1.7704
2020-02-21,1.7098
2020-02-24,1.6353
2020-02-25,1.5813
2020-02-26,1.5763
2020-02-27,1.5619
2020-02-28,1.4416
2020-03-02,1.4220
2020-03-03,1.3651
2020-03-04,1.3673
2020-03-05,1.3078
2020-03-06,1.1862
2020-03-09,1.0214
2020-03-10,1.1357
2020-03-11,1.1530
2020-03-12,1.1991
2020-03-13,1.2608
2020-03-16,1.0953
2020-03-17,1.2833
2020-03-18,1.4831
2020-03-19,1.5068
2020-03-20,1.3806
2020-03-23,1.1948
2020-03-24,1.2134
2020-03-25,1.2308
2020-03-26,1.2036
2020-03-27,1.1177
2020-03-30,1.0817
2020-03-31,1.0726
2020-04-01,1.0167
2020-04-02,1.0144
2020-04-03,1.0083
2020-04-06,1.0462
2020-04-07,1.1008
2020-04-08,1.1382
2020-04-09,1.1207
2020-04-10,.
2020-04-13,1.1566
2020-04-14,1.1669
2020-04-15,1.0800
2020-04-16,1.0463
2020-04-17,1.0621
2020-04-20,1.0401
2020-04-21,0.9991
2020-04-22,1.0219
2020-04-23,1.0097
2020-04-24,1.0000
2020-04-27,1.0392
2020-04-28,1.0128
2020-04-29,1.0055
2020-04-30,1.0164
2020-05-01,1.0201
2020-05-04,1.0183
2020-05-05,1.0302
2020-05-06,1.0757
2020-05-07,1.0229
2020-05-08,1.0550
2020-05-11,1.0915
2020-05-12,1.0790
2020-05-13,1.0471
2020-05-14,1.0263
2020-05-15,1.0330
2020-05-18,1.0993
2020-05-19,1.0990
2020-05-20,1.0909
2020-05-21,1.0846
2020-05-22,1.0611
2020-05-25,.
2020-05-26,1.0790
2020-05-27,1.0694
2020-05-28,1.0802
2020-05-29,1.0467
2020-06-01,1.0436
2020-06-02,1.0568
2020-06-03,1.1226
2020-06-04,1.1836
2020-06-05,1.2795
2020-06-08,1.2951
2020-06-09,1.2671
2020-06-10,1.1951
2020-06-11,1.1149
2020-06-12,1.1084
2020-06-15,1.1048
2020-06-16,1.1286
2020-06-17,1.1255
2020-06-18,1.1034
2020-06-19,1.0924
2020-06-22,1.0921
2020-06-23,1.0934
2020-06-24,1.0766
2020-06-25,1.0708
2020-06-26,1.0374
2020-06-29,1.0155
2020-06-30,1.0258
2020-07-01,1.0508
2020-07-02,1.0477
2020-07-03,.
2020-07-06,1.0596
2020-07-07,1.0319
2020-07-08,1.0307
2020-07-09,0.9975
2020-07-10,1.0117
2020-07-13,1.0058
2020-07-14,0.9923
2020-07-15,0.9948
2020-07-16,0.9853
2020-07-17,0.9921
2020-07-20,0.9865
2020-07-21,0.9712
2020-07-22,0.9654
2020-07-23,0.9504
2020-07-24,0.9453
2020-07-27,0.9582
2020-07-28,0.9346
2020-07-29,0.9232
2020-07-30,0.8955
2020-07-31,0.8816
2020-08-03,0.8863
2020-08-04,0.8548
2020-08-05,0.8689
2020-08-06,0.8651
2020-08-07,0.8828
2020-08-10,0.8986
2020-08-11,0.9440
2020-08-12,0.9917
2020-08-13,1.0322
2020-08-14,1.0438
2020-08-17,1.0353
2020-08-18,1.0232
2020-08-19,1.0292
2020-08-20,1.0109
2020-08-21,0.9984
2020-08-24,1.0028
2020-08-25,1.0267
2020-08-26,1.0419
2020-08-27,1.0837
2020-08-28,1.0939
2020-08-31,1.0902
2020-09-01,1.0628
2020-09-02,1.0420
2020-09-03,1.0079
2020-09-04,1.0625
2020-09-07,.
2020-09-08,1.0545
2020-09-09,1.0605
2020-09-10,1.0472
2020-09-11,1.0367
2020-09-14,1.0371
2020-09-15,1.0373
2020-09-16,1.0471
2020-09-17,1.0498
2020-09-18,1.0599
